a wet black dog with a red collar is in the river	A black dog with a red collar wading through the water.	4.0
Nelson Mandela undergoes surgery	‘Nelson Mandela is recovering’	2.2
A man is jumping into water.	A man is cutting paper.	0.8
There are two things to consider:	There are two possible causes for this:	4.0
Since this is a relatively new problem for behavioral researchers, I don't know that there is a common consensus.	I'll address just the first of your three sub-questions, the others have been answered by Chuck Sherrington.	0.0
"I think we made the right case and did the right thing."""	"Mr Blair went on: ""I think we did the right thing in relation to Iraq."	2.769
A man plays the guitar and sings.	A man is singing and playing a guitar.	5.0
Shares of MONY were gaining $2.57, or 9%, to $31.90 in after-hours trading on Instinet.	MONY shares rose 8.76 per cent to $31.90 in after-hours trading in New York.	3.25
The foundations of South Africa are built on Nelson Mandela's memory	Australian politicians lament over Nelson Mandela's death	1.3
This post refers to research in the STEM fields, and may not be applicable to other research topics.	This is about my experience in computer engineering I found that reading for breadth was the more important approach.	0.6
A skateboarder on a city street.	A skateboarder in the air at a big, outdoor ramp.	2.6
There are a few things I think you should do.	There are a few minimally-effective things you can do at the personal level.	4.0
Hurricane Isaac Moves Inland After Landfall	Hurricane Isaac batters US coast near New Orleans	2.4
I  believe one cannot taste the difference between minced(canned) and fresh garlic once it is cooked.	In my experience, fresh garlic is great for when you want texture, or to slow down the flavour infusion.	1.8
Civilians Bear Brunt of Afghan Attacks	Taliban launch coordinated Afghan attacks	1.8
A dog jogs through the grass.	a dog trots through the grass.	5.0
Two animals sitting on a rock.	The brown train is sitting on the railroad tracks.	0.0
Knox County Health Department is following national Centers for Disease Control and Prevention Protocol to contain infection.	The health department spokesperson added the department is following Centers for Disease Control protocol.	3.0
Someone is slicing two uncooked racks of ribs apart.	Someone is cutting a piece of meat.	2.333
The bank also said its offer was subject to the agreement of Drax's senior banks, senior bond holders and hedging banks by 30 September 2003.	The offer is also subject to Goldman signing an agreement with Drax's senior banks, senior bond holders and hedging banks by Sept. 30, it said.	4.4
Libya asks UN Security Council for help	Kerry Calls On UN Security Council to Act on Syria	2.4
A skier is jumping in the air over a snowfield near a mountain range.	A woman is sitting near a flower bed overlooking a tunnel.	0.0
Fashion designer Lilly Pulitzer dies	Designer, Socialite Lilly Pulitzer Dies at 81	4.0
A man dressed in black wearing a hat and glasses in front of a red wall.	A woman in a white shirt standing in front of a brick wall.	1.4
Mayor says 14 dead in Texas fertilizer plant blast	Rescuers search for survivors of Texas fertiliser plant blast	1.4
Yes, there is a reason to not do what you propose.	Valid reasons to feel the way you do, but not a reason to resign.	2.0
A man is playing a guitar.	A man is playing a trumpet.	1.714
A black and white photo of a man driving a car and someone with a motorcycle.	A black and white photo of a man in a classic car and a man with a classic motorcycle.	4.0
Two blasts hit Syria capital	Two blasts rock Syrian capital	4.8
A young woman is riding a Bay hose in a dirt riding-ring.	A man is staring at a horse with a white mane.	0.8
Pakistani PM shocked at avalanche trapping army personnel	Pakistan avalanche: rescuers search for buried soldiers	2.4
Yes, this is true and yes, in most cases indefinite articles indeed developed from numerals, as @MGN already said.	Indefinite articles developed from numerals, and the definite articles developed from demonstratives.	2.6
Veteran stage and screen actor Hume Cronyn died of cancer Sunday.	Character actor Hume Cronyn, 91, died Sunday at his home in Connecticut.	3.5
A red bird and four other birds sitting in the snow.	Five birds stand on the snow.	2.8
I'd start by reading David Allen's book: Getting Things Done.	I'm considering spending the $48 per month on the GTD (Getting things done) system advertised by David Allen.	3.0
A black and white cat and dog on a striped couch.	A black and white cat standing in front of a window.	2.4
DPRK leader calls for better ties with S.Korea	North Korea urges foreigners to leave South Korea	0.4
a man and woman walking past a record shop	A man and woman kissing in front of a crowd of people.	0.2
A man is breaking wooden boards with his hand.	A man is breaking tiles with his hands.	2.5
Gunmen kill nine people in northwest Pakistan	Gunmen kill 3 policemen in Iraq	0.4
First of all, as a general matter of fact you suppose to change your workout routine in every 3-4 weeks.	You can mix those, but in my experience, it will be very difficult at first.	0.0
He claimed Red Hat and the Free Software Foundation with trying to undermine U.S. copyright and patent law.	In his letter, McBride charges the Free Software Foundation and Red Hat with trying to undermine U.S. copyright laws.	4.0
I'm not yet able to answer if the phenomenon has an official PoliSci name.	There are 2 problems with the viewpoint you presented in the question, which explain the seeming contradiction.	0.4
A man playing the violin in the rain.	A man playing the guitar in the rain.	3.2
The man is mixing whipping cream.	The man is holding a skunk.	0.0
A black dog standing in a grassy area.	A long-haired dog stands in a grassy wooded area.	3.4
Biden calls for trust in US-China relations	Biden calls for trust in building ‘new relationship’ with China	4.6
A crowd of men wearing paper numbers on their shirts run in a race.	Several men running down a grass field wearing numbers on the front of their shirts.	3.6
A group of people are camping out on some rocks.	A group of people are standing beside a fire truck.	1.2
An elderly man works on his laptop at home.	Older gentleman sitting on couch with laptop.	4.2
A motorcycles is parked near a wall covered with a graffiti scene of a cityscape.	A motorcycle is parked by a mural of a city in the evening.	3.4
A woman is cutting broccoli.	A woman is slicing broccoli.	5.0
A father napping in a chair with a baby on his lap.	Man with pink shirt sleeping on chair with infant.	3.4
An old man wearing a hat stands outside a shop door.	a man in an oversized shirt sits at a shop	2.2
Pak religious body endorses underage marriage	CII endorses underage marriage	3.0
A man is slicing an onion.	A man slices an onion.	5.0
"Bush turned out a statement yesterday thanking the commission for its work, and said, ""Our journey into space will go on."""	"Mr. Bush did not discuss this when he issued a brief statement yesterday thanking the commission for its work, and saying, ""Our journey into space will go on."""	3.6
Iran backs proposal for meeting on Syria conflict	Iran says Israel lying about rockets	0.4
Three young men run, jump, and kick off of a Coke machine.	Three men are jumping off a wall.	1.5
A man is riding on a boat.	A man is tying in the machine.	0.4
A plane is landing.	A animated airplane is landing.	2.8
US authorities charge man in ricin probe	South African police arrest 50 in farm protest	0.0
Obama silent on China dissident	Obama to visit Korean DMZ	0.6
Take a look at these:	Take a look at this: 	5.0
Two men talking in front of a plane.	Two men talking in front of a small plane.	4.4
Shenzhen stock indices close higher Monday	Shenzhen stock indices close lower -- Oct. 31	1.8
PG&E Corp. shares were up 39 cents or 2.6 percent at $15.59 on the New York Stock Exchange on Tuesday.	PG&E's shares gained 24 cents to $15.44 during Tuesday's trading on the New York Stock Exchange.	2.2
A woman is playing the flute.	A man is playing a flute.	2.75
A green car parked at a saloon.	A green car parked outside the saloon.	5.0
Freeman's civil hearing may be, on the surface, about a driver's license.	Freeman said not having a driver license has been a burden.	1.75
There are a few things I think you should do.	There are quite a few things you would need to do;	4.0
"The other 24 members are split between representatives of the securities industry and so-called ""public"" board members."	Of the 24 directors who are not exchange executives, half are representatives of the securities industry and half are designated public members.	4.0
South Korea declares end to MERS outbreak	North Korea Delegation Meets With South Korean Officials	0.0
Two firefighters killed in New York ambush	Two New York firefighters in guarded condition after deadly ambush	2.6
Stocking is very subjective to the specific inhabitants as well as the setup and your aquarium experience.	You'll always want to add fish into a tank slowly.	1.8
A former candidate for governor of New York, he styled himself an advocate of better corporate governance.	Mr. McCall, who ran unsuccessfully for governor of New York in 2002, styled himself an advocate of better corporate governance.	3.25
The man and two young boys jump on a trampoline.	A man and two boys are bouncing on a trampoline.	4.8
Iran warns Moscow nuclear talks could stall	Iranians “confess” to nuclear scientist murders	1.2
You are not disclosing key info.	No you are not.	2.0
The lamb is looking at the camera.	A small bird standing on a log at the waters edge.	0.0
North, South Korea agree to talks	North, South Korea hold rare talks	3.8
A grey house with a red door.	House with a red door.	3.4
Security tightens for Thatcher funeral	Security agencies worry about new terrorist threats in Kenya	0.0
The blue-chip Dow Jones industrial average .DJI climbed 164 points, or 1.91 percent, to 8,765.38, brushing its highest levels since mid-January.	The blue-chip Dow Jones industrial average .DJI tacked on 97 points, or 1.14 percent, to 8,699.	3.0
Two skiing people are doing cross country skiing.	People skiing cross country.	3.6
A man is playing a ukulele.	A man is sitting and playing a small guitar.	2.2
A pitcher on a mound throws a baseball.	A boy in the middle of a pitch at a baseball game.	3.4
The girl has something on her head.	The woman has something with her.	2.6
A tiger club is playing with a ball.	A person is chopping shrimp with a knife.	0.0
The woman is holding the hands of the man.	The woman is checking the eyes of the man.	2.4
Cardinals enter Vatican for historic vote	Cardinals enter Sistine Chapel to elect pope	3.4
It depends entirely on your company and your contract.	I guess it depends on the nature of your contract.	4.0
"RT Jones analyst Juli Niemann said Grant was ""the one we were all pulling for."	"He has a very good reputation,"" RT Jones analyst Juli Niemann said of Grant."	1.4
I think the dual goals have a lot to do with the purpose of the antagonist.	I think it's going to depend on what the reasons are.	2.6
Why is the speed of light 299,792,458 m/s, and not (for instance) 3,1 or 4,3 x 10^44 m/s?	Speed of light being finite is one of the fundamentals of our Universe.	1.0
The black and white dog has its mouth wide open.	A black and white dog jumps in the snow.	1.8
A person is playing a piano.	A person is slicing a potato.	0.5
The Hare Psychopathy Checklist is often used to assess psychopathy in clinical settings.	From an article entitled Can You Call a 9-Year-Old a Psychopath?	1.8
A man is kicking a soccer ball.	A man is performing tricks with a soccer ball.	2.6
Your brain is already beginning to wind down as you see the end in sight.	I'm writing here a few tips that can help you with motivation.	0.4
In these days of googling, it's sloppy to not find the source of a quotation.	I agree with Kate Sherwood, you should be able to attribute most quotes these days by simple fact checking.	3.2
Blue and red plane in mid-air flight.	a blue and red airplane while in flight.	4.8
Malala, Snowden, Belarusians Short-Listed For Sakharov Prize	Fugitive Snowden short-listed for European rights prize	3.6
"""She was crying and scared,' said Isa Yasin, the owner of the store."	"""She was crying and she was really scared,"" said Yasin."	3.8
I bought a book, which talks about this, so here's an answer to my own question.	Well I wouldn't risk it, not in a cold compost system.	0.0
Teams of inspectors walked into a restricted area at one park without being stopped; others took pictures of sensitive areas without being challenged.	Teams of inspectors walked into a restricted area at one park without being stopped by employees; others took pictures of security-sensitive areas without anyone challenging them.	4.75
There is no maximum.	There is no quarantine period.	0.0
Germany dodges recession with growth in first quarter	Eurozone avoids recession in Q1, thanks to Germany	2.0
The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.	Against the Swiss franc the dollar was at 1.3289 francs, up 0.5 percent on the day.	1.3330000000000002
The Recording Industry Association of America says it plans to sue the song traders next month.	That is, if the Recording Industry Association of America has anything to say about it.	1.75
Nationally, the federal Centers for Disease Control and Prevention recorded 4,156 cases of West Nile, including 284 deaths.	There were 293 human cases of West Nile in Indiana in 2002, including 11 deaths statewide.	1.6669999999999998
I will advise exactly the contrary of what bravo just said in another answer : go for A !	You could defer admission, but it's a little unusual to defer for a year.	0.2
A person is on a baseball team.	A person is playing basketball on a team.	2.4
A person sitting in an office takes a picture.	A woman is sitting in an office.	3.2
An elderly Asian couple pose with a yawning baby at a dinner table.	An older Asian couple poses with a newborn baby at the dinner table.	4.4
Russia, China veto UN resolution on Syria endorsing	Russia, China veto U.N. draft backing Arab plan for Syria (Reuters)	3.8
Before Thursday's matinee, Baker called a clubhouse meeting, concerned that the controversy had distracted the Cubs.	Baker called a pregame meeting, believing the the corked-bat episode had distracted the team.	3.4
A Philips flat-screen TV is shown with its two remote controls.	A Phillips flat screen TV with two remote controls.	5.0
In the year-ago period, Pearson posted a 26 million pre-tax profit.	A year ago the firm posted a profit of 26 million pounds.	3.182
A man is riding a horse by a creek.	A man is riding a horse.	4.0
A boy is very close to a girl.	A girl is close to a boy whose face is not shown.	3.2
Syrian envoy to Cyprus defects to Qatar	Syria deploys more troops despite peace deal	0.8
Some studies suggest open-space environments lower working efficiency with 2-10% due to interruptions, stress and noise.	There's an iPhone app called Groups which might be helpful.	0.0
A baby panda goes down a slide.	A panda slides down a slide.	4.4
Not 'hiding the ball' on Russia: Obama	Obama says he's not 'hiding the ball' on Russia	4.4
A brown and white dog is walking up snowy steps.	A black and white dog frolics in the snow.	2.6
"""But HRT should not be used to prevent heart disease or any other chronic condition."""	"""The clear message is it should not be used to prevent cardiovascular disease,"" Manson said."	2.6
A man is dancing.	A man is singing.	1.25
A gray cat laying on a brown table.	A grey cat lying on a wooden table.	4.2
A man is opening a box and taking out paper.	A woman is peeling a potato.	0.0
A light-colored dog runs through the grass.	A dog runs through the grass.	4.0
"The company will launch 800 hot spots, or ""Wi-Fi Zones,"" later this summer, and plans to have more than 2,100 by the end of the year."	The service will launch later this summer with 800 locations, and Sprint plans 2,100 locations by the end of the year.	3.0
The puppy tried to get out of the tub.	A puppy is trying to get out of a bathtub.	4.4
The dog is running through a field.	A dog runs through a field.	4.8
The mock explosion, the first event in the drill, occurred in a car in industrial south Seattle.	"The mock explosion of a radioactive ""dirty bomb,"" the first event in the weeklong drill, occurred on several acres in the south Seattle industrial area."	3.25
It probably depends on the cut of meat.	It depends on the meat and how it's cut.	4.0
Syrian troops kill 35 in Damascus suburb	Activists: Syrian troops kill dozens near Damascus	3.6
They can be out of level by a bit, but flat is important.	Yes, although they can be a bit sour.	0.0
Depressed woman sitting on couch.	Older woman holding newborn baby.	0.0
I've started my own tool since I didn't like yWriter and Storybook.	I've tried many of the things mentioned above, but they never really worked for me.	1.6
A lady with a yellow outfit is in the air above the bed in a yellow room.	A dog with a red leash still attached chases over the grass toward a tennis ball.	0.0
It will take time to oust die-hard remnants of Saddam Hussein's deposed regime in Iraq, Defense Secretary Donald H. Rumsfeld said Tuesday.	Defense Secretary Donald H. Rumsfeld said Tuesday it will take time to locate die-hard remnants of Saddam Hussein's deposed regime in Iraq.	4.8
A cat laying on a red cushion looking at the camera.	A tan dog lying on a moggie bed looking up at the camera.	1.2
Supreme Court to Hear Voting Rights Act Case	Supreme Court to hear corporate human rights case	1.4
25 bodies found at raided Algerian gas plant	25 more bodies found at Algerian gas plant	4.4
A man is smoking.	A baby is sucking on a pacifier.	0.0
Kids playing ball in the park.	Two dogs playing by the shore.	0.6
Reading your post, made me think of my younger years !!	I'd say you need to distract yourself from the bigger picture.	0.0
Stout previously worked for General Electric subsidiary GE Capital Service Inc., where he was vice president and chief technology and information officer.	Stout comes to Sprint from GE Capital, where he served as chief technology and information officer.	3.2
A man is dancing.	A woman is exercising.	0.4
You should just ask your boss what he wants you to do.	You should listen to your boss, because you're not paid to tell the boss what to do.	2.0
In Hinduism and Buddhism there is message of peace and an encouragement to not be materialistic.	"This relates to the ""discovery"" of Asian, and other non-European cultures by Americans."	0.0
A man is playing a basketball.	A man is playing a piano.	1.4
"My answer to your question is ""Probably Not""."	The answer to your question is not really.	4.0
Food poisoning kills at least 20 children in India	Baghdad cafe bombing kills at least 38	0.0
There are a few things you can do: 	There are a few things I think you should do.	3.0
A red train driving through a snow covered city.	The train is riding on the tracks in the snow.	3.2
The Nasdaq Composite Index rose 19.67, or 1.3 percent, to 1523.71, its highest since June 18.	The S&P 500 had climbed 16 percent since its March low and yesterday closed at its highest since Dec. 2.	0.8
I prefer to run the second half 1-2 minutes faster then the first.	I would definitely go for a slightly slower first half.	2.6
Black and white cow standing near pile of snow.	a black and white cow standing in the field.	3.2
The person is wearing a fedora.	A man is wearing a uniform.	1.6
This doesn't answer your question, but:	This is a part answer to your question	1.0
A young man is playing the piano.	A woman is peeling a prawn.	0.0
A group of people are wearing police uniforms conducting an arrest.	A group of police officers are wearing protection.	2.8
